Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SP1,25/08/18,Valladolid,Barcelona,0,1,A,0,0,D,7,10,4,5,13,11,6,10,1,1,0,0,17,7.5,1.16,15,7,1.19,13,7,1.2,19.07,8.18,1.18,17,7.5,1.15,21,7.5,1.18,41,21,16.55,8.4,7.56,1.2,1.17,34,1.47,1.42,2.94,2.8,20,2,2.13,2.07,1.83,1.79,18.04,7.67,1.19
SP1,26/08/18,Espanol,Valencia,2,0,H,0,0,D,19,16,9,4,16,12,6,10,1,1,0,0,3.25,3.2,2.37,2.95,3.3,2.45,3.1,3.3,2.35,3.19,3.48,2.35,3.1,3.4,2.25,3.1,3.4,2.3,39,3.25,3.08,3.48,3.3,2.47,2.37,34,2.16,2.07,1.81,1.74,19,0.25,1.9,1.84,2.08,2.02,2.9,3.34,2.62
SP1,26/08/18,Girona,Real Madrid,1,4,A,1,1,D,10,20,5,8,13,11,4,7,2,3,0,0,8,5.5,1.36,9.25,4.75,1.36,7,5.2,1.4,8.99,5.42,1.37,7,5.5,1.36,8.5,5.5,1.33,41,9.25,8.29,5.5,5.2,1.4,1.36,33,1.55,1.5,2.68,2.52,19,1.5,1.91,1.87,2.04,1.99,10.01,5.54,1.34
SP1,26/08/18,Sevilla,Villarreal,0,0,D,0,0,D,19,14,2,6,13,14,4,5,3,2,0,0,1.72,4.2,4.33,1.72,3.9,4.75,1.75,3.9,4.45,1.79,3.98,4.7,1.75,3.9,4.33,1.73,3.9,4.6,41,1.83,1.76,4.2,3.87,4.75,4.51,37,1.77,1.71,2.22,2.12,20,-1,2.42,2.34,1.67,1.61,2.05,3.6,3.86
SP1,27/08/18,Ath Bilbao,Huesca,2,2,D,0,0,D,14,9,4,4,17,17,3,2,2,2,0,0,1.61,3.6,6.5,1.6,3.75,6.5,1.63,3.8,5.7,1.64,3.8,6.45,1.65,3.6,5.5,1.62,3.8,6,41,1.68,1.63,3.95,3.75,6.5,5.95,38,2.1,2.01,1.85,1.79,20,-1,2.19,2.12,1.79,1.74,1.6,3.89,6.88
SP1,27/08/18,Levante,Celta,1,2,A,0,2,A,15,21,6,9,14,8,7,7,2,3,0,0,2.4,3.25,3,2.5,3.25,2.95,2.45,3.25,2.95,2.52,3.31,3.08,2.45,3.25,2.9,2.45,3.3,3,41,2.6,2.49,3.41,3.25,3.09,2.93,36,2.1,2.03,1.84,1.78,18,-0.25,2.19,2.12,1.81,1.76,2.28,3.63,3.21
SP1,31/08/18,Eibar,Sociedad,2,1,H,1,1,D,8,7,2,2,18,15,4,2,3,2,0,0,2.75,3.25,2.62,2.75,3.2,2.65,2.95,3.2,2.5,2.8,3.31,2.73,2.7,3.25,2.62,2.8,3.3,2.7,41,2.95,2.79,3.34,3.23,2.77,2.66,38,2.3,2.2,1.72,1.67,21,0.25,1.71,1.67,2.33,2.26,3.11,3.23,2.53
SP1,31/08/18,Getafe,Valladolid,0,0,D,0,0,D,12,7,3,4,22,14,6,7,3,1,0,0,1.9,3.2,4.75,1.85,3.25,5,1.9,3.2,4.7,1.93,3.18,5.22,1.91,3.2,4.5,1.95,3.25,4.8,41,1.99,1.91,3.3,3.18,5.35,4.86,37,2.68,2.59,1.54,1.49,21,-0.5,1.95,1.91,2,1.96,2.08,3.07,4.55
SP1,31/08/18,Villarreal,Girona,0,1,A,0,0,D,13,14,3,6,15,11,7,2,3,2,0,0,1.57,4,6,1.55,4.2,6,1.65,3.8,5.4,1.57,4.17,6.67,1.57,4,5.8,1.57,4.2,6.5,41,1.65,1.57,4.24,4.08,6.68,6.19,39,1.98,1.91,1.98,1.89,23,-1,2.01,1.97,1.94,1.88,1.52,4.54,6.81
SP1,01/09/18,Celta,Ath Madrid,2,0,H,0,0,D,10,9,4,0,12,14,2,8,4,5,0,1,5.5,3.4,1.75,5,3.6,1.75,4.8,3.7,1.75,4.93,3.66,1.81,4.6,3.4,1.8,5,3.6,1.8,41,5.5,4.83,3.77,3.58,1.85,1.78,38,2.19,2.1,1.8,1.72,21,0.75,1.87,1.84,2.07,2.02,5.17,3.69,1.78
