Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
N1,18/08/18,Heracles,Den Haag,4,2,H,3,2,H,17,19,7,7,13,17,5,10,2,4,0,0,2,3.4,3.75,2.05,3.5,3.6,1.93,3.65,3.45,2,3.84,3.54,2,3.75,3.1,2.05,3.75,3.4,42,2.08,1.99,3.84,3.65,3.75,3.47,36,1.63,1.59,2.39,2.29,19,-0.5,2.06,2.01,1.87,1.84,1.93,4.09,3.74
N1,18/08/18,NAC Breda,Graafschap,3,0,H,1,0,H,7,7,3,2,9,18,3,4,0,2,0,0,2.14,3.4,3.3,2.2,3.4,3.3,2.2,3.4,3,2.28,3.52,3.17,2.2,3.5,2.88,2.3,3.5,3,42,2.3,2.22,3.63,3.44,3.3,3.07,38,1.77,1.71,2.19,2.11,20,-0.25,2.03,1.96,1.93,1.88,2.28,3.67,3.1
N1,18/08/18,For Sittard,PSV Eindhoven,1,2,A,0,1,A,10,17,6,8,13,16,5,8,1,1,0,0,10,5.25,1.3,8,5.5,1.35,7.2,5,1.35,9.21,5.54,1.33,8,5.5,1.29,10,5.5,1.3,42,10.02,8.78,5.72,5.31,1.35,1.31,36,1.55,1.5,2.64,2.52,21,1.5,2.02,1.95,1.93,1.88,11.1,6.35,1.27
N1,18/08/18,VVV Venlo,Ajax,0,1,A,0,0,D,9,18,1,9,8,9,5,7,0,1,0,0,10,5.25,1.28,9.75,5.75,1.3,7.2,5,1.35,9.01,5.57,1.33,9,5,1.29,11,5.5,1.29,42,11,8.97,5.86,5.37,1.35,1.3,35,1.54,1.49,2.64,2.52,21,1.5,2.05,1.99,1.94,1.84,11.96,6.54,1.26
N1,19/08/18,FC Emmen,AZ Alkmaar,1,4,A,1,3,A,14,16,7,8,10,15,6,3,0,1,0,0,4.75,4,1.66,5.25,3.9,1.67,4.7,4.05,1.6,5.25,4.19,1.64,4.5,4,1.62,4.8,4.2,1.65,41,5.25,4.86,4.26,4.02,1.69,1.63,36,1.6,1.56,2.48,2.36,19,0.75,2.1,2.03,1.86,1.82,6.66,4.78,1.51
N1,19/08/18,Feyenoord,Excelsior,3,0,H,1,0,H,23,9,6,2,14,8,10,1,0,0,0,0,1.28,5.25,10,1.26,6,11.5,1.26,5.6,9.4,1.26,6.08,12.03,1.22,6,9.5,1.25,6,12,41,1.29,1.26,6.1,5.64,12.03,10.35,35,1.52,1.48,2.68,2.56,19,-1.75,2.04,1.97,1.9,1.86,1.23,7,13.23
N1,19/08/18,Heerenveen,Vitesse,1,1,D,1,0,H,7,20,3,4,17,15,1,8,3,2,0,0,2.1,3.4,3.4,2.1,3.6,3.4,2.15,3.45,3.05,2.24,3.49,3.25,2.15,3.4,3,2.2,3.6,3.13,41,2.28,2.17,3.63,3.48,3.4,3.13,35,1.67,1.64,2.28,2.2,19,-0.25,1.95,1.9,1.98,1.93,2.67,3.5,2.68
N1,19/08/18,Utrecht,Zwolle,2,0,H,2,0,H,7,17,2,4,8,14,6,10,2,1,1,0,1.66,4,4.75,1.67,4,5,1.6,4,4.75,1.64,4.22,5.18,1.57,4.2,4.6,1.62,4.1,5.2,41,1.7,1.64,4.22,4,5.2,4.81,36,1.67,1.63,2.28,2.21,19,-1,2.25,2.12,1.8,1.74,1.88,3.74,4.34
N1,24/08/18,Den Haag,For Sittard,3,1,H,2,0,H,12,14,6,3,10,13,14,10,5,1,0,0,1.9,3.5,4,1.87,3.7,4.1,1.85,3.6,3.8,1.89,3.77,4.15,1.85,3.7,3.6,1.9,3.8,3.8,42,1.94,1.87,3.8,3.67,4.2,3.91,38,1.72,1.67,2.27,2.18,20,-0.5,1.93,1.88,2.01,1.97,1.94,3.57,4.15
N1,25/08/18,Ajax,FC Emmen,5,0,H,2,0,H,22,6,10,2,10,9,11,1,0,1,0,0,1.1,9,21,1.11,9.5,23,1.1,8.5,18,1.12,9.73,22.3,1.08,9.5,17,1.11,10,21,39,1.13,1.11,10.5,9.3,25,20.34,33,1.3,1.27,3.95,3.58,20,-2.5,2.02,1.95,1.94,1.88,1.09,12.44,26.36
